Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Label
-79.47,43.78,TORONTO NORTH YORK,615S001,19-10-2023,2023,10,19,16.50,5.00,10.75,7.20,0.00,2.00,0.00,2.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,20-10-2023,2023,10,20,15.00,11.50,13.25,4.70,0.00,7.80,0.00,7.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,21-10-2023,2023,10,21,11.50,7.00,9.25,8.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,22-10-2023,2023,10,22,11.00,3.50,7.25,10.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,23-10-2023,2023,10,23,17.50,-3.00,7.25,10.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,24-10-2023,2023,10,24,19.50,7.00,13.25,4.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,25-10-2023,2023,10,25,20.50,12.00,16.25,1.70,0.00,3.20,0.00,3.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,26-10-2023,2023,10,26,18.50,13.50,16.00,2.00,0.00,4.00,0.00,4.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,27-10-2023,2023,10,27,22.00,14.50,18.25,0.00,0.30,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,28-10-2023,2023,10,28,13.50,10.00,11.75,6.20,0.00,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,29-10-2023,2023,10,29,7.50,4.00,5.75,12.20,0.00,5.00,0.00,5.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,30-10-2023,2023,10,30,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,31-10-2023,2023,10,31,6.50,-3.00,1.75,16.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,01-11-2023,2023,11,1,4.00,-2.50,0.75,17.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,02-11-2023,2023,11,2,10.00,0.00,5.00,13.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,03-11-2023,2023,11,3,15.00,4.50,9.75,8.20,0.00,2.60,0.00,2.60,1
-79.47,43.78,TORONTO NORTH YORK,615S001,04-11-2023,2023,11,4,11.00,7.00,9.00,9.00,0.00,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,05-11-2023,2023,11,5,10.00,1.00,5.50,12.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,06-11-2023,2023,11,6,13.00,6.00,9.50,8.50,0.00,7.80,0.00,7.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,07-11-2023,2023,11,7,9.00,5.00,7.00,11.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,08-11-2023,2023,11,8,5.00,-4.00,0.50,17.50,0.00,16.20,0.00,16.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,09-11-2023,2023,11,9,11.00,-0.50,5.25,12.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,10-11-2023,2023,11,10,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,11-11-2023,2023,11,11,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,12-11-2023,2023,11,12,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,13-11-2023,2023,11,13,14.00,-2.50,5.75,12.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,14-11-2023,2023,11,14,10.00,5.00,7.50,10.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,15-11-2023,2023,11,15,15.00,-2.00,6.50,11.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,16-11-2023,2023,11,16,13.50,-1.00,6.25,11.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,17-11-2023,2023,11,17,14.50,4.00,9.25,8.70,0.00,1.20,0.00,1.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,18-11-2023,2023,11,18,8.00,-2.50,2.75,15.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,19-11-2023,2023,11,19,5.00,0.00,2.50,15.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,20-11-2023,2023,11,20,4.00,-6.50,-1.25,19.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,21-11-2023,2023,11,21,6.00,-2.50,1.75,16.20,0.00,16.80,0.00,16.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,22-11-2023,2023,11,22,6.50,3.00,4.75,13.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,23-11-2023,2023,11,23,7.00,2.50,4.75,13.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,24-11-2023,2023,11,24,1.00,-3.50,-1.25,19.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,25-11-2023,2023,11,25,4.00,-5.00,-0.50,18.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,26-11-2023,2023,11,26,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,27-11-2023,2023,11,27,3.00,0.00,1.50,16.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,28-11-2023,2023,11,28,0.00,-5.00,-2.50,20.50,0.00,0.00,1.00,1.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,29-11-2023,2023,11,29,0.00,-5.00,-2.50,20.50,0.00,0.00,0.50,0.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,30-11-2023,2023,11,30,10.50,-3.00,3.75,14.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,01-12-2023,2023,12,1,14.72,5.03,9.88,8.96,0.83,2.28,0.32,2.61,1
-79.47,43.78,TORONTO NORTH YORK,615S001,02-12-2023,2023,12,2,3.00,0.50,1.75,16.20,0.00,0.80,0.00,0.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,03-12-2023,2023,12,3,3.50,0.50,2.00,16.00,0.00,1.80,0.00,1.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,04-12-2023,2023,12,4,3.00,1.00,2.00,16.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,05-12-2023,2023,12,5,2.50,0.00,1.25,16.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,06-12-2023,2023,12,6,1.50,-2.00,-0.25,18.30,0.00,0.00,6.50,6.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,07-12-2023,2023,12,7,4.00,-5.00,-0.50,18.50,0.00,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,08-12-2023,2023,12,8,7.50,1.50,4.50,13.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,09-12-2023,2023,12,9,12.00,4.00,8.00,10.00,0.00,8.80,0.00,8.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,10-12-2023,2023,12,10,6.00,3.00,4.50,13.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,11-12-2023,2023,12,11,2.00,0.00,1.00,17.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,12-12-2023,2023,12,12,5.00,-1.50,1.75,16.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,13-12-2023,2023,12,13,3.00,-2.00,0.50,17.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,14-12-2023,2023,12,14,5.00,-3.00,1.00,17.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,15-12-2023,2023,12,15,12.50,0.50,6.50,11.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,16-12-2023,2023,12,16,6.50,3.00,4.75,13.20,0.00,0.60,0.00,0.60,1
-79.47,43.78,TORONTO NORTH YORK,615S001,17-12-2023,2023,12,17,7.00,2.50,4.75,13.20,0.00,10.20,0.00,10.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,18-12-2023,2023,12,18,6.00,5.00,5.50,12.50,0.00,2.40,2.00,4.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,19-12-2023,2023,12,19,1.00,-5.00,-2.00,20.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,20-12-2023,2023,12,20,4.00,-4.00,0.00,18.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,21-12-2023,2023,12,21,-2.00,-4.00,-3.00,21.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,22-12-2023,2023,12,22,0.50,-5.50,-2.50,20.50,0.00,1.60,0.00,1.60,1
-79.47,43.78,TORONTO NORTH YORK,615S001,23-12-2023,2023,12,23,4.00,-2.00,1.00,17.00,0.00,7.00,0.00,7.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,24-12-2023,2023,12,24,5.00,2.00,3.50,14.50,0.00,0.20,0.00,0.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,25-12-2023,2023,12,25,6.50,3.00,4.75,13.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,26-12-2023,2023,12,26,8.00,3.50,5.75,12.20,0.00,6.00,0.00,6.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,27-12-2023,2023,12,27,8.50,6.00,7.25,10.70,0.00,10.20,0.00,10.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,28-12-2023,2023,12,28,7.50,6.00,6.75,11.20,0.00,4.40,0.00,4.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,29-12-2023,2023,12,29,6.50,6.00,6.25,11.70,0.00,5.00,0.00,5.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,30-12-2023,2023,12,30,0.00,-1.00,-0.50,18.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,31-12-2023,2023,12,31,1.00,-1.00,0.00,18.00,0.00,0.00,3.00,3.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,01-01-2024,2024,1,1,-1.00,-4.00,-2.50,20.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,02-01-2024,2024,1,2,1.00,-2.90,-0.95,19.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,03-01-2024,2024,1,3,2.50,0.00,1.25,16.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,04-01-2024,2024,1,4,-2.00,-7.00,-4.50,22.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,05-01-2024,2024,1,5,-0.50,-5.50,-3.00,21.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,06-01-2024,2024,1,6,1.50,-1.50,0.00,18.00,0.00,0.00,2.50,2.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,07-01-2024,2024,1,7,-0.50,-5.00,-2.75,20.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,08-01-2024,2024,1,8,2.50,-3.00,-0.25,18.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,09-01-2024,2024,1,9,6.00,0.00,3.00,15.00,0.00,21.20,4.00,25.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,10-01-2024,2024,1,10,3.00,0.00,1.50,16.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,11-01-2024,2024,1,11,2.00,0.00,1.00,17.00,0.00,0.00,2.00,2.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,12-01-2024,2024,1,12,4.00,-1.50,1.25,16.70,0.00,13.20,5.00,18.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,13-01-2024,2024,1,13,0.50,-1.50,-0.50,18.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,14-01-2024,2024,1,14,-5.00,-7.50,-6.25,24.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,15-01-2024,2024,1,15,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,16-01-2024,2024,1,16,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,17-01-2024,2024,1,17,-6.50,-15.00,-10.75,28.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,18-01-2024,2024,1,18,-4.00,-10.50,-7.25,25.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,19-01-2024,2024,1,19,-9.00,-10.00,-9.50,27.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,20-01-2024,2024,1,20,-8.00,-15.50,-11.75,29.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,21-01-2024,2024,1,21,-2.00,-12.00,-7.00,25.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,22-01-2024,2024,1,22,-0.50,-7.00,-3.75,21.80,0.00,0.00,0.50,0.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,23-01-2024,2024,1,23,1.50,-1.50,0.00,18.00,0.00,0.00,2.50,2.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,24-01-2024,2024,1,24,2.00,0.00,1.00,17.00,0.00,8.70,0.00,8.70,1
-79.47,43.78,TORONTO NORTH YORK,615S001,25-01-2024,2024,1,25,3.50,0.50,2.00,16.00,0.00,19.80,0.00,19.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,26-01-2024,2024,1,26,4.00,1.50,2.75,15.20,0.00,4.80,0.00,4.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,27-01-2024,2024,1,27,3.00,1.00,2.00,16.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,28-01-2024,2024,1,28,3.00,1.00,2.00,16.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,29-01-2024,2024,1,29,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,30-01-2024,2024,1,30,2.50,-2.50,0.00,18.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,31-01-2024,2024,1,31,5.00,0.00,2.50,15.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,01-02-2024,2024,2,1,4.50,2.00,3.25,14.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,02-02-2024,2024,2,2,3.50,-0.50,1.50,16.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,03-02-2024,2024,2,3,5.00,-5.50,-0.25,18.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,04-02-2024,2024,2,4,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,05-02-2024,2024,2,5,3.50,-3.00,0.25,17.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,06-02-2024,2024,2,6,6.00,-5.50,0.25,17.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,07-02-2024,2024,2,7,6.50,-4.00,1.25,16.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,08-02-2024,2024,2,8,7.50,-1.00,3.25,14.70,0.00,1.10,0.00,1.10,1
-79.47,43.78,TORONTO NORTH YORK,615S001,09-02-2024,2024,2,9,15.50,1.00,8.25,9.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,10-02-2024,2024,2,10,8.00,4.50,6.25,11.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,11-02-2024,2024,2,11,2.50,1.00,1.75,16.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,12-02-2024,2024,2,12,5.00,0.50,2.75,15.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,13-02-2024,2024,2,13,5.50,-5.50,0.00,18.00,0.00,0.00,1.00,1.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,14-02-2024,2024,2,14,0.00,-9.00,-4.50,22.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,15-02-2024,2024,2,15,0.50,-8.50,-4.00,22.00,0.00,0.00,9.00,9.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,16-02-2024,2024,2,16,-1.00,-3.50,-2.25,20.30,0.00,0.00,0.80,0.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,17-02-2024,2024,2,17,-4.50,-8.50,-6.50,24.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,18-02-2024,2024,2,18,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,19-02-2024,2024,2,19,-2.00,-13.00,-7.50,25.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,20-02-2024,2024,2,20,5.50,-10.00,-2.25,20.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,21-02-2024,2024,2,21,9.50,-3.00,3.25,14.70,0.00,0.20,0.00,0.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,22-02-2024,2024,2,22,11.00,2.00,6.50,11.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,23-02-2024,2024,2,23,10.50,-2.00,4.25,13.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,24-02-2024,2024,2,24,-2.00,-13.00,-7.50,25.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,25-02-2024,2024,2,25,5.50,-10.00,-2.25,20.30,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,26-02-2024,2024,2,26,10.50,-1.50,4.50,13.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,27-02-2024,2024,2,27,12.50,-1.00,5.75,12.20,0.00,25.80,0.00,25.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,28-02-2024,2024,2,28,16.50,-2.50,7.00,11.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,29-02-2024,2024,2,29,0.00,-8.00,-4.00,22.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,01-03-2024,2024,3,1,9.50,-5.50,2.00,16.00,0.00,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,02-03-2024,2024,3,2,6.00,2.50,4.25,13.70,0.00,0.40,0.00,0.40,1
-79.47,43.78,TORONTO NORTH YORK,615S001,03-03-2024,2024,3,3,8.00,5.00,6.50,11.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,04-03-2024,2024,3,4,16.50,4.00,10.25,7.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,05-03-2024,2024,3,5,16.50,4.00,10.25,7.70,0.00,1.80,0.00,1.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,06-03-2024,2024,3,6,8.00,5.50,6.75,11.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,07-03-2024,2024,3,7,13.50,1.00,7.25,10.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,08-03-2024,2024,3,8,9.50,-0.50,4.50,13.50,0.00,11.20,0.00,11.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,09-03-2024,2024,3,9,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,10-03-2024,2024,3,10,1.00,-2.00,-0.50,18.50,0.00,0.00,0.50,0.50,1
-79.47,43.78,TORONTO NORTH YORK,615S001,11-03-2024,2024,3,11,8.50,-2.00,3.25,14.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,12-03-2024,2024,3,12,16.00,-2.50,6.75,11.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,13-03-2024,2024,3,13,20.50,1.00,10.75,7.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,14-03-2024,2024,3,14,11.50,1.00,6.25,11.70,0.00,20.00,0.00,20.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,15-03-2024,2024,3,15,11.50,4.50,8.00,10.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,16-03-2024,2024,3,16,10.00,-0.50,4.75,13.20,0.00,1.80,0.00,1.80,1
-79.47,43.78,TORONTO NORTH YORK,615S001,17-03-2024,2024,3,17,6.50,1.50,4.00,14.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,18-03-2024,2024,3,18,3.00,-2.00,0.50,17.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,19-03-2024,2024,3,19,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,20-03-2024,2024,3,20,4.89,-2.71,1.09,16.90,0.00,1.63,0.55,2.17,1
-79.47,43.78,TORONTO NORTH YORK,615S001,21-03-2024,2024,3,21,-0.50,-7.00,-3.75,21.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,22-03-2024,2024,3,22,-3.00,-8.50,-5.75,23.80,0.00,0.00,18.00,18.00,1
-79.47,43.78,TORONTO NORTH YORK,615S001,23-03-2024,2024,3,23,3.00,-8.00,-2.50,20.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,24-03-2024,2024,3,24,2.50,-10.00,-3.75,21.80,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,25-03-2024,2024,3,25,8.50,-2.00,3.25,14.70,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,26-03-2024,2024,3,26,9.50,4.00,6.75,11.20,0.00,6.20,0.00,6.20,1
-79.47,43.78,TORONTO NORTH YORK,615S001,27-03-2024,2024,3,27,11.00,6.00,8.50,9.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,28-03-2024,2024,3,28,10.50,0.50,5.50,12.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,29-03-2024,2024,3,29,7.00,-1.50,2.75,15.20,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,30-03-2024,2024,3,30,9.50,-2.50,3.50,14.50,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,31-03-2024,2024,3,31,11.00,1.00,6.00,12.00,0.00,0.00,0.00,0.00,0
-79.47,43.78,TORONTO NORTH YORK,615S001,01-04-2024,2024,4,1,12.00,2.00,7.00,11.00,0.00,0.00,0.00,0.00,0
